"","x"
"1",1
"2",4
"3",3
"4",2
"5",1
"6",6
"7",2
"8",2
"9",1
"10",1
"11",0
"12",1
"13",4
"14",0
"15",1
"16",2
"17",2
"18",1
"19",4
"20",5
"21",2
"22",1
"23",2
"24",2
"25",4
"26",5
"27",3
"28",6
"29",5
"30",2
"31",0
"32",1
"33",5
"34",3
"35",1
"36",4
"37",3
"38",4
"39",1
"40",1
"41",2
"42",0
"43",1
"44",1
"45",0
"46",4
"47",3
"48",5
"49",4
"50",2
"51",4
"52",0
"53",4
"54",1
"55",2
"56",0
"57",0
"58",4
"59",1
"60",1
"61",0
"62",0
"63",0
"64",2
"65",3
"66",2
"67",4
"68",5
"69",1
"70",4
"71",0
"72",0
"73",2
"74",5
"75",2
"76",3
"77",0
"78",4
"79",5
"80",0
"81",2
"82",2
"83",2
"84",2
"85",3
"86",4
"87",3
"88",5
"89",0
"90",5
"91",2
"92",1
"93",1
"94",3
"95",2
"96",0
"97",4
"98",3
"99",3
"100",1
"101",0
"102",2
"103",4
"104",4
"105",0
"106",1
"107",0
"108",0
"109",6
"110",1
"111",0
"112",4
"113",4
"114",0
"115",1
"116",0
"117",5
"118",0
"119",0
"120",1
"121",3
"122",1
"123",0
"124",5
"125",3
"126",3
"127",0
"128",1
"129",5
"130",3
"131",4
"132",4
"133",0
"134",4
"135",0
"136",4
"137",1
"138",4
"139",0
"140",3
"141",0
"142",5
"143",3
"144",1
"145",3
"146",2
"147",4
"148",4
"149",0
"150",2
"151",3
"152",3
"153",4
"154",0
"155",1
"156",1
"157",3
"158",5
"159",3
"160",1
"161",1
"162",4
"163",1
"164",4
"165",4
"166",4
"167",5
"168",0
"169",3
"170",0
"171",5
"172",5
"173",1
"174",0
"175",1
"176",0
"177",4
"178",0
"179",3
"180",0
"181",2
"182",1
"183",2
"184",3
"185",4
"186",0
"187",0
"188",4
"189",1
"190",0
"191",5
"192",4
"193",4
"194",2
"195",5
"196",0
"197",0
"198",3
"199",0
"200",3
"201",1
"202",5
"203",1
"204",4
"205",2
"206",5
"207",2
"208",3
"209",3
"210",1
"211",2
"212",2
"213",4
"214",3
"215",5
"216",1
"217",1
"218",4
"219",1
"220",0
"221",2
"222",0
"223",5
"224",0
"225",4
"226",4
"227",0
"228",1
"229",1
"230",1
"231",4
"232",3
"233",0
"234",2
"235",0
"236",2
"237",2
"238",0
"239",0
"240",4
"241",4
"242",1
"243",1
"244",1
"245",1
"246",1
"247",2
"248",2
"249",2
"250",1
"251",0
"252",0
"253",1
"254",1
"255",4
"256",5
"257",0
"258",5
"259",3
"260",1
"261",4
"262",6
"263",0
"264",3
"265",4
"266",4
"267",3
"268",4
"269",1
"270",0
"271",2
"272",4
"273",1
"274",4
"275",3
"276",4
"277",0
"278",0
"279",4
"280",3
"281",4
"282",1
"283",1
"284",2
"285",4
"286",0
"287",5
"288",6
"289",0
"290",4
"291",1
"292",3
"293",1
"294",0
"295",0
"296",1
"297",2
"298",1
"299",0
"300",0
"301",4
"302",3
"303",2
"304",4
"305",6
"306",5
"307",3
"308",1
"309",0
"310",1
"311",3
"312",3
"313",3
"314",4
"315",2
"316",0
"317",1
"318",1
"319",3
"320",1
"321",4
"322",2
"323",4
"324",4
"325",1
"326",1
"327",7
"328",5
"329",1
"330",1
"331",6
"332",0
"333",3
"334",3
"335",0
"336",4
"337",4
"338",1
"339",0
"340",1
"341",5
"342",0
"343",4
"344",4
"345",4
"346",5
"347",0
"348",3
"349",4
"350",0
"351",3
"352",3
"353",0
"354",3
"355",4
"356",4
"357",3
"358",3
"359",3
"360",4
"361",6
"362",3
"363",5
"364",2
"365",2
"366",1
"367",3
"368",1
"369",5
"370",0
"371",0
"372",1
"373",0
"374",3
"375",2
"376",4
"377",2
"378",6
"379",3
"380",5
"381",3
"382",0
"383",4
"384",3
"385",2
"386",4
"387",5
"388",4
"389",0
"390",0
"391",0
"392",0
"393",3
"394",0
"395",4
"396",0
"397",4
"398",6
"399",3
"400",4
"401",3
"402",2
"403",0
"404",4
"405",1
"406",4
"407",5
"408",4
"409",0
"410",4
"411",0
"412",3
"413",0
"414",4
"415",5
"416",3
"417",7
"418",1
"419",5
"420",1
"421",1
"422",3
"423",0
"424",1
"425",0
"426",3
"427",4
"428",1
"429",5
"430",3
"431",5
"432",5
"433",3
"434",0
"435",2
"436",3
"437",0
"438",5
"439",1
"440",2
"441",3
"442",5
"443",3
"444",2
"445",5
"446",3
"447",1
"448",3
"449",1
"450",5
"451",1
"452",4
"453",1
"454",1
"455",0
"456",0
"457",1
"458",3
"459",5
"460",0
"461",5
"462",4
"463",1
"464",4
"465",0
"466",1
"467",2
"468",4
"469",2
"470",3
"471",1
"472",2
"473",0
"474",3
"475",1
"476",2
"477",4
"478",4
"479",4
"480",3
"481",0
"482",1
"483",5
"484",1
"485",2
"486",0
"487",0
"488",1
"489",2
"490",1
"491",2
"492",1
"493",5
"494",4
"495",1
"496",0
"497",3
"498",1
"499",5
"500",4
"501",2
"502",1
"503",3
"504",0
"505",4
"506",3
"507",2
"508",3
"509",5
"510",4
"511",0
"512",3
"513",1
"514",5
"515",0
"516",3
"517",5
"518",4
"519",4
"520",0
"521",3
"522",3
"523",1
"524",3
"525",5
"526",4
"527",0
"528",5
"529",3
"530",0
"531",0
"532",4
"533",4
"534",1
"535",5
"536",1
"537",4
"538",5
"539",0
"540",1
"541",4
"542",1
"543",1
"544",3
"545",4
"546",0
"547",5
"548",0
"549",3
"550",3
"551",3
"552",4
"553",2
"554",0
"555",0
"556",1
"557",0
"558",0
"559",4
"560",1
"561",4
"562",0
"563",1
"564",2
"565",4
"566",0
"567",1
"568",3
"569",1
"570",5
"571",4
"572",4
"573",4
"574",0
"575",0
"576",0
"577",3
"578",1
"579",0
"580",0
"581",2
"582",3
"583",4
"584",0
"585",5
"586",5
"587",3
"588",0
"589",0
"590",1
"591",5
"592",4
"593",5
"594",0
"595",3
"596",1
"597",4
"598",0
"599",2
"600",2
"601",2
"602",1
"603",0
"604",1
"605",2
"606",0
"607",3
"608",4
"609",2
"610",5
"611",1
"612",4
"613",0
"614",1
"615",1
"616",5
"617",6
"618",6
"619",1
"620",1
"621",1
"622",0
"623",5
"624",5
"625",0
"626",4
"627",4
"628",4
"629",3
"630",0
"631",2
"632",5
"633",1
"634",4
"635",2
"636",4
"637",4
"638",6
"639",1
"640",1
"641",2
"642",0
"643",0
"644",2
"645",0
"646",1
"647",0
"648",6
"649",1
"650",6
"651",5
"652",5
"653",4
"654",5
"655",0
"656",5
"657",0
"658",1
"659",1
"660",2
"661",3
"662",2
"663",4
"664",5
"665",3
"666",1
"667",0
"668",0
"669",0
"670",0
"671",2
"672",3
"673",0
"674",3
"675",2
"676",5
"677",0
"678",0
"679",0
"680",0
"681",4
"682",3
"683",0
"684",5
"685",5
"686",0
"687",1
"688",4
"689",5
"690",4
"691",3
"692",5
"693",2
"694",4
"695",2
"696",3
"697",5
"698",3
"699",0
"700",3
"701",1
"702",1
"703",2
"704",4
"705",3
"706",3
"707",3
"708",1
"709",3
"710",0
"711",3
"712",4
"713",1
"714",0
"715",4
"716",5
"717",2
"718",3
"719",4
"720",3
"721",0
"722",3
"723",1
"724",3
"725",1
"726",1
"727",1
"728",1
"729",3
"730",5
"731",1
"732",4
"733",0
"734",0
"735",4
"736",0
"737",4
"738",1
"739",4
"740",0
"741",3
"742",0
"743",5
"744",3
"745",0
"746",4
"747",0
"748",1
"749",3
"750",1
"751",3
"752",0
"753",3
"754",0
"755",1
"756",4
"757",4
"758",3
"759",3
"760",3
"761",0
"762",1
"763",0
"764",0
"765",0
"766",0
"767",4
"768",4
"769",1
"770",4
"771",3
"772",5
"773",5
"774",3
"775",4
"776",0
"777",3
"778",3
"779",2
"780",1
"781",5
"782",5
"783",2
"784",4
"785",5
"786",4
"787",3
"788",0
"789",1
"790",4
"791",4
"792",4
"793",5
"794",1
"795",4
"796",5
"797",3
"798",5
"799",1
"800",1
"801",0
"802",5
"803",1
"804",4
"805",3
"806",5
"807",3
"808",2
"809",3
"810",0
"811",1
"812",3
"813",4
"814",1
"815",0
"816",5
"817",1
"818",2
"819",1
"820",5
"821",0
"822",2
"823",5
"824",3
"825",0
"826",3
"827",1
"828",0
"829",4
"830",2
"831",5
"832",6
"833",1
"834",5
"835",0
"836",4
"837",1
"838",0
"839",2
"840",3
"841",5
"842",0
"843",4
"844",3
"845",1
"846",0
"847",4
"848",3
"849",0
"850",2
"851",0
"852",1
"853",0
"854",4
"855",3
"856",0
"857",0
"858",0
"859",1
"860",3
"861",2
"862",0
"863",2
"864",2
"865",5
"866",4
"867",1
"868",1
"869",0
"870",2
"871",1
"872",3
"873",3
"874",1
"875",4
"876",0
"877",1
"878",2
"879",1
"880",0
"881",4
"882",5
"883",5
"884",2
"885",0
"886",2
"887",0
"888",0
"889",4
"890",4
"891",2
"892",4
"893",2
"894",0
"895",1
"896",3
"897",3
"898",2
"899",4
"900",1
"901",0
"902",2
"903",4
"904",0
"905",6
"906",2
"907",3
"908",0
"909",0
"910",4
"911",0
"912",5
"913",2
"914",4
"915",3
"916",4
"917",7
"918",0
"919",1
"920",6
"921",4
"922",4
"923",5
"924",0
"925",1
"926",3
"927",4
"928",4
"929",3
"930",3
"931",4
"932",0
"933",1
"934",3
"935",2
"936",3
"937",3
"938",2
"939",3
"940",4
"941",2
"942",4
"943",2
"944",1
"945",0
"946",6
"947",1
"948",0
"949",3
"950",6
"951",0
"952",4
"953",4
"954",1
"955",1
"956",2
"957",3
"958",4
"959",0
"960",0
"961",0
"962",4
"963",2
"964",1
"965",1
"966",4
"967",3
"968",1
"969",5
"970",4
"971",5
"972",3
"973",4
"974",4
"975",6
"976",1
"977",0
"978",4
"979",1
"980",4
"981",3
"982",5
"983",1
"984",4
"985",4
"986",5
"987",1
"988",4
"989",3
"990",2
"991",5
"992",1
"993",0
"994",0
"995",2
"996",4
"997",1
"998",5
"999",0
"1000",4
"1001",4
"1002",3
"1003",0
"1004",6
"1005",3
"1006",0
"1007",4
"1008",5
"1009",0
"1010",2
"1011",2
"1012",5
"1013",1
"1014",3
"1015",4
"1016",3
"1017",4
"1018",5
"1019",3
"1020",5
"1021",3
"1022",4
"1023",2
"1024",0
"1025",2
"1026",4
"1027",1
"1028",3
"1029",4
"1030",1
"1031",0
"1032",3
"1033",0
"1034",0
"1035",4
"1036",0
"1037",4
"1038",0
"1039",1
"1040",2
"1041",3
"1042",3
"1043",4
"1044",4
"1045",4
"1046",3
"1047",5
"1048",3
"1049",0
"1050",2
"1051",2
"1052",0
"1053",1
"1054",0
"1055",5
"1056",4
"1057",0
"1058",1
"1059",1
"1060",0
"1061",2
"1062",1
"1063",5
"1064",0
"1065",3
"1066",1
"1067",1
"1068",0
"1069",1
"1070",3
"1071",4
"1072",3
"1073",5
"1074",5
"1075",1
"1076",2
"1077",5
"1078",4
"1079",2
"1080",4
"1081",2
"1082",4
"1083",1
"1084",6
"1085",4
"1086",1
"1087",4
"1088",3
"1089",0
"1090",3
"1091",1
"1092",0
"1093",3
"1094",5
"1095",1
"1096",0
"1097",1
"1098",4
"1099",0
"1100",0
"1101",3
"1102",4
"1103",1
"1104",3
"1105",3
"1106",0
"1107",4
"1108",0
"1109",3
"1110",5
"1111",4
"1112",3
"1113",1
"1114",5
"1115",1
"1116",0
"1117",3
"1118",5
"1119",3
"1120",4
"1121",4
"1122",1
"1123",2
"1124",1
"1125",0
"1126",4
"1127",1
"1128",0
"1129",0
"1130",4
"1131",1
"1132",5
"1133",1
"1134",1
"1135",3
"1136",1
"1137",3
"1138",1
"1139",0
"1140",1
"1141",4
"1142",6
"1143",3
"1144",1
"1145",3
"1146",4
"1147",1
"1148",7
"1149",4
"1150",5
"1151",4
"1152",2
"1153",3
"1154",3
"1155",4
"1156",5
"1157",3
"1158",5
"1159",0
"1160",4
"1161",5
"1162",3
"1163",5
"1164",1
"1165",3
"1166",4
"1167",0
"1168",6
"1169",5
"1170",0
"1171",5
"1172",2
"1173",1
"1174",4
"1175",3
"1176",2
"1177",2
"1178",6
"1179",4
"1180",0
"1181",1
"1182",5
"1183",0
"1184",3
"1185",0
"1186",7
"1187",1
"1188",4
"1189",3
"1190",0
"1191",2
"1192",5
"1193",3
"1194",4
"1195",1
"1196",2
"1197",4
"1198",6
"1199",3
"1200",4
"1201",5
"1202",0
"1203",3
"1204",0
"1205",1
"1206",4
"1207",4
"1208",3
"1209",6
"1210",0
"1211",2
"1212",4
"1213",3
"1214",2
"1215",0
"1216",1
"1217",1
"1218",0
"1219",0
"1220",2
"1221",0
"1222",3
"1223",0
"1224",2
"1225",1
"1226",3
"1227",6
"1228",1
"1229",5
"1230",3
"1231",0
"1232",1
"1233",4
"1234",0
"1235",0
"1236",0
"1237",0
"1238",0
"1239",2
"1240",4
"1241",6
"1242",0
"1243",5
"1244",1
"1245",3
"1246",0
"1247",3
"1248",3
"1249",1
"1250",2
"1251",4
"1252",1
"1253",0
"1254",4
"1255",3
"1256",0
"1257",5
"1258",1
"1259",4
"1260",5
"1261",0
"1262",4
"1263",0
"1264",0
"1265",3
"1266",1
"1267",3
"1268",0
"1269",1
"1270",0
"1271",3
"1272",0
"1273",0
"1274",3
"1275",2
"1276",4
"1277",2
"1278",0
"1279",4
"1280",0
"1281",3
"1282",3
"1283",3
"1284",0
"1285",1
"1286",4
"1287",1
"1288",1
"1289",3
"1290",1
"1291",4
"1292",3
"1293",1
"1294",4
"1295",0
"1296",5
"1297",0
"1298",1
"1299",3
"1300",0
"1301",5
"1302",2
"1303",5
"1304",4
"1305",4
"1306",1
"1307",4
"1308",3
"1309",3
"1310",0
"1311",4
"1312",1
"1313",5
"1314",0
"1315",4
"1316",1
"1317",3
"1318",0
"1319",1
"1320",0
"1321",1
"1322",3
"1323",5
"1324",2
"1325",5
"1326",2
"1327",1
"1328",4
"1329",2
"1330",1
"1331",0
"1332",0
"1333",4
"1334",3
"1335",7
"1336",2
"1337",4
"1338",0
"1339",4
"1340",1
"1341",3
"1342",0
"1343",4
"1344",4
"1345",4
"1346",0
"1347",5
"1348",4
"1349",0
"1350",3
"1351",1
"1352",3
"1353",5
"1354",5
"1355",3
"1356",0
"1357",0
"1358",5
"1359",4
"1360",0
"1361",4
"1362",3
"1363",5
"1364",6
"1365",5
"1366",4
"1367",3
"1368",2
"1369",2
"1370",5
"1371",3
"1372",3
"1373",4
"1374",0
"1375",0
"1376",1
"1377",4
"1378",3
"1379",2
"1380",0
"1381",2
"1382",0
"1383",6
"1384",2
"1385",5
"1386",0
"1387",2
"1388",0
"1389",2
"1390",5
"1391",3
"1392",0
"1393",0
"1394",5
"1395",0
"1396",1
"1397",4
"1398",3
"1399",3
"1400",3
"1401",4
"1402",3
"1403",7
"1404",0
"1405",4
"1406",3
"1407",1
"1408",4
"1409",4
"1410",2
"1411",1
"1412",3
"1413",3
"1414",4
"1415",2
"1416",1
"1417",5
"1418",1
"1419",1
"1420",4
"1421",0
"1422",0
"1423",2
"1424",1
"1425",0
"1426",2
"1427",5
"1428",0
"1429",0
"1430",2
"1431",2
"1432",1
"1433",0
"1434",0
"1435",0
"1436",5
"1437",4
"1438",0
"1439",5
"1440",5
"1441",4
"1442",4
"1443",4
"1444",4
"1445",1
"1446",2
"1447",5
"1448",1
"1449",0
"1450",3
"1451",5
"1452",4
"1453",2
"1454",2
"1455",0
"1456",3
"1457",0
"1458",1
"1459",2
"1460",3
"1461",5
"1462",3
"1463",2
"1464",0
"1465",3
"1466",4
"1467",2
"1468",4
"1469",2
"1470",0
"1471",4
"1472",1
"1473",3
"1474",3
"1475",4
"1476",3
"1477",0
"1478",1
"1479",1
"1480",3
"1481",0
"1482",0
"1483",1
"1484",2
"1485",1
"1486",3
"1487",4
"1488",0
"1489",4
"1490",3
"1491",1
"1492",1
"1493",1
"1494",3
"1495",1
"1496",2
"1497",5
"1498",4
"1499",5
"1500",0
"1501",1
"1502",4
"1503",0
"1504",2
"1505",0
"1506",2
"1507",2
"1508",1
"1509",2
"1510",2
"1511",0
"1512",0
"1513",1
"1514",6
"1515",5
"1516",0
"1517",0
"1518",5
"1519",4
"1520",3
"1521",1
"1522",1
"1523",3
"1524",5
"1525",4
"1526",1
"1527",1
"1528",4
"1529",1
"1530",4
"1531",0
"1532",1
"1533",5
"1534",3
"1535",3
"1536",6
"1537",2
"1538",0
"1539",3
"1540",2
"1541",4
"1542",3
"1543",3
"1544",0
"1545",1
"1546",4
"1547",4
"1548",3
"1549",3
"1550",7
"1551",4
"1552",4
"1553",0
"1554",0
"1555",4
"1556",0
"1557",0
"1558",0
"1559",5
"1560",3
"1561",1
"1562",4
"1563",2
"1564",2
"1565",0
"1566",2
"1567",1
"1568",6
"1569",2
"1570",5
"1571",0
"1572",4
"1573",1
"1574",6
"1575",3
"1576",0
"1577",0
"1578",3
"1579",0
"1580",1
"1581",5
"1582",3
"1583",4
"1584",2
"1585",3
"1586",5
"1587",0
"1588",4
"1589",4
"1590",4
"1591",3
"1592",2
"1593",4
"1594",0
"1595",4
"1596",0
"1597",3
"1598",3
"1599",3
"1600",4
"1601",0
"1602",4
"1603",0
"1604",5
"1605",1
"1606",4
"1607",3
"1608",1
"1609",4
"1610",5
"1611",1
"1612",1
"1613",5
"1614",2
"1615",2
"1616",3
"1617",0
"1618",5
"1619",0
"1620",2
"1621",2
"1622",4
"1623",2
"1624",0
"1625",2
"1626",1
"1627",2
"1628",4
"1629",5
"1630",0
"1631",0
"1632",1
"1633",2
"1634",2
"1635",5
"1636",5
"1637",2
"1638",0
"1639",0
"1640",4
"1641",1
"1642",4
"1643",4
"1644",3
"1645",3
"1646",1
"1647",0
"1648",6
"1649",0
"1650",5
"1651",4
"1652",0
"1653",6
"1654",5
"1655",4
"1656",0
"1657",2
"1658",5
"1659",5
"1660",3
"1661",0
"1662",2
"1663",1
"1664",4
"1665",2
"1666",0
"1667",4
"1668",2
"1669",1
"1670",2
"1671",3
"1672",4
"1673",6
"1674",3
"1675",2
"1676",2
"1677",5
"1678",0
"1679",4
"1680",3
"1681",0
"1682",6
"1683",1
"1684",3
"1685",4
"1686",3
"1687",2
"1688",0
"1689",0
"1690",1
"1691",5
"1692",0
"1693",3
"1694",1
"1695",1
"1696",4
"1697",5
"1698",0
"1699",3
"1700",6
"1701",6
"1702",3
"1703",3
"1704",4
"1705",4
"1706",0
"1707",3
"1708",3
"1709",0
"1710",5
"1711",5
"1712",5
"1713",5
"1714",5
"1715",2
"1716",1
"1717",4
"1718",3
"1719",0
"1720",2
"1721",3
"1722",2
"1723",0
"1724",3
"1725",0
"1726",4
"1727",4
"1728",5
"1729",6
"1730",4
"1731",0
"1732",3
"1733",2
"1734",0
"1735",3
"1736",4
"1737",3
"1738",1
"1739",3
"1740",0
"1741",5
"1742",4
"1743",0
"1744",4
"1745",0
"1746",4
"1747",2
"1748",5
"1749",0
"1750",2
"1751",2
"1752",0
"1753",3
"1754",0
"1755",5
"1756",4
"1757",3
"1758",3
"1759",2
"1760",3
"1761",3
"1762",4
"1763",1
"1764",4
"1765",1
"1766",0
"1767",2
"1768",4
"1769",0
"1770",1
"1771",4
"1772",5
"1773",2
"1774",0
"1775",0
"1776",3
"1777",0
"1778",5
"1779",4
"1780",4
"1781",1
"1782",0
"1783",2
"1784",1
"1785",1
"1786",0
"1787",4
"1788",1
"1789",1
"1790",4
"1791",4
"1792",1
"1793",1
"1794",1
"1795",2
"1796",2
"1797",1
"1798",5
"1799",0
"1800",0
"1801",5
"1802",4
"1803",4
"1804",1
"1805",6
"1806",0
"1807",6
"1808",4
"1809",3
"1810",6
"1811",3
"1812",4
"1813",2
"1814",1
"1815",3
"1816",1
"1817",4
"1818",4
"1819",1
"1820",3
"1821",5
"1822",4
"1823",4
"1824",5
"1825",4
"1826",3
"1827",4
"1828",0
"1829",0
"1830",4
"1831",6
"1832",0
"1833",3
"1834",3
"1835",0
"1836",1
"1837",0
"1838",1
"1839",4
"1840",0
"1841",0
"1842",4
"1843",0
"1844",3
"1845",3
"1846",0
"1847",5
"1848",3
"1849",3
"1850",3
"1851",2
"1852",3
"1853",0
"1854",5
"1855",4
"1856",4
"1857",1
"1858",2
"1859",5
"1860",5
"1861",1
"1862",2
"1863",0
"1864",0
"1865",1
"1866",5
"1867",0
"1868",5
"1869",1
"1870",0
"1871",1
"1872",2
"1873",5
"1874",2
"1875",3
"1876",0
"1877",0
"1878",3
"1879",0
"1880",5
"1881",1
"1882",3
"1883",0
"1884",1
"1885",4
"1886",1
"1887",2
"1888",0
"1889",5
"1890",6
"1891",0
"1892",2
"1893",1
"1894",1
"1895",3
"1896",4
"1897",2
"1898",4
"1899",4
"1900",1
"1901",3
"1902",0
"1903",1
"1904",4
"1905",3
"1906",1
"1907",3
"1908",1
"1909",1
"1910",3
"1911",4
"1912",0
"1913",1
"1914",1
"1915",3
"1916",1
"1917",5
"1918",0
"1919",4
"1920",1
"1921",1
"1922",4
"1923",1
"1924",0
"1925",3
"1926",3
"1927",5
"1928",6
"1929",1
"1930",4
"1931",0
"1932",4
"1933",6
"1934",5
"1935",0
"1936",3
"1937",0
"1938",0
"1939",0
"1940",2
"1941",1
"1942",4
"1943",3
"1944",0
"1945",2
"1946",4
"1947",1
"1948",5
"1949",3
"1950",1
"1951",0
"1952",4
"1953",2
"1954",3
"1955",0
"1956",3
"1957",1
"1958",0
"1959",1
"1960",4
"1961",3
"1962",4
"1963",1
"1964",1
"1965",1
"1966",1
"1967",4
"1968",3
"1969",0
"1970",0
"1971",6
"1972",4
"1973",4
"1974",4
"1975",1
"1976",0
"1977",0
"1978",1
"1979",7
"1980",6
"1981",3
"1982",0
"1983",3
"1984",0
"1985",5
"1986",4
"1987",4
"1988",0
"1989",5
"1990",4
"1991",1
"1992",1
"1993",5
"1994",3
"1995",4
"1996",5
"1997",1
"1998",0
"1999",0
"2000",4
"2001",0
"2002",2
"2003",0
"2004",0
"2005",4
"2006",4
"2007",1
"2008",0
"2009",4
"2010",1
"2011",1
"2012",3
"2013",3
"2014",1
"2015",4
"2016",0
"2017",0
"2018",3
"2019",3
"2020",0
"2021",3
"2022",4
"2023",3
"2024",2
"2025",4
"2026",2
"2027",0
"2028",5
"2029",0
"2030",6
"2031",1
"2032",2
"2033",4
"2034",4
"2035",3
"2036",0
"2037",3
"2038",1
"2039",4
"2040",0
"2041",5
"2042",0
"2043",1
"2044",3
"2045",4
"2046",4
"2047",1
"2048",4
"2049",3
"2050",4
"2051",1
"2052",3
"2053",0
"2054",3
"2055",4
"2056",2
"2057",5
"2058",1
"2059",3
"2060",4
"2061",4
"2062",2
"2063",2
"2064",1
"2065",3
"2066",6
"2067",4
"2068",5
"2069",2
"2070",3
"2071",0
"2072",4
"2073",0
"2074",0
"2075",1
"2076",0
"2077",0
"2078",5
"2079",4
"2080",2
"2081",3
"2082",3
"2083",0
"2084",0
"2085",4
"2086",5
"2087",1
"2088",4
"2089",0
"2090",1
"2091",0
"2092",1
"2093",0
"2094",1
"2095",0
"2096",0
"2097",4
"2098",0
"2099",3
"2100",3
"2101",0
"2102",4
"2103",1
"2104",5
"2105",3
"2106",3
"2107",1
"2108",2
"2109",0
"2110",3
"2111",2
"2112",4
"2113",2
"2114",2
"2115",0
"2116",1
"2117",4
"2118",3
"2119",1
"2120",7
"2121",0
"2122",0
"2123",0
"2124",3
"2125",5
"2126",5
"2127",5
"2128",1
"2129",0
"2130",2
"2131",2
"2132",1
"2133",3
"2134",5
"2135",1
"2136",2
"2137",2
"2138",2
"2139",0
"2140",1
"2141",3
"2142",3
"2143",0
"2144",5
"2145",1
"2146",0
"2147",3
"2148",1
"2149",4
"2150",3
"2151",5
"2152",1
"2153",1
"2154",0
"2155",0
"2156",0
"2157",5
"2158",0
"2159",3
"2160",0
"2161",0
