"","x"
"9529",2.72471661361679
"9531",3.54013168037841
"9532",3.84256210712418
"9533",4.01501297980539
"9534",4.43084671447323
"9535",3.47318809014203
"9536",5.14866162880868
"9537",4.02832487772625
"9539",4.45324888619441
"9540",3.81269325331052
"9541",3.24001497111134
"9542",3.98795919087819
"9543",3.19165429334427
"9544",2.83109824181537
"9545",2.97876912010898
"9546",2.71434350733322
"9547",2.26919302912725
"9548",4.00990021974019
"9549",2.94207323660094
"9550",3.10826827467395
"9551",1.7318570025764
"9552",2.85177615094932
"9553",5.49413851280791
"9554",5.08796589446732
"9556",5.09456341746398
"9557",6.80568677181913
"9558",4.55465623265421
"9559",4.43359840756096
"9560",3.91115792153909
"9561",4.09281017151643
"9562",3.8746783667839
"9563",4.23019869219086
"9564",4.12009030556696
"9565",6.10004897805223
"9567",5.07808045392122
"9570",4.39888795717778
"9571",3.19476786735894
"9572",4.30630533941263
"9575",3.43761217410917
"9577",2.95886063171695
"9578",4.31586349201958
"9580",4.25175295332949
"9581",4.18091190694244
"9583",4.15444620580521
"9584",5.7116978602069
"9585",2.4055734988947
"9587",4.30108325415434
"9589",5.28975249660172
"9590",2.17762522827944
"9591",6.01785799949106
"9594",2.87595922949241
"9595",2.79414582674778
"9596",2.18528444866455
"9597",2.78421307626064
"9598",5.51576544288621
"9599",3.03580651782719
"9600",2.76907052226241
"9602",2.22449004192268
"9605",2.21289587166654
"9606",4.05359867521172
"9609",3.65769137810237
"9610",2.47519484011723
"9611",1.66557842275683
"9612",3.95754918208794
"9614",4.90471998620986
"9615",5.75384212513942
"9616",2.76733429598793
"9619",4.87597861829934
"9620",3.82498705223603
"9621",2.07027471684217
"9622",2.21740553251702
"9626",3.14912372919255
"9628",4.58793275273575
"9629",4.51739921024417
"9630",3.0515122765188
"9631",3.92813342836316
"9632",3.45383127990547
"9634",2.34776681989542
"9636",3.20258018437507
"9637",5.02056901610359
"9638",4.28235479860647
"9639",4.67831598161464
"9640",3.8964142883239
"9641",2.1814137220672
"9643",2.76090933265612
"9645",2.33589940151499
"9646",3.05686849105044
"9648",3.38256179464546
"9649",3.64090615232345
"9650",1.8004346718916
"9651",2.76872290211938
"9653",5.70702564437119
"9654",3.48078584995755
"9655",4.20462023981816
"9657",2.28797054127018
"9658",3.80212269773977
"9659",2.362293844736
"9661",3.76975226663394
"9662",3.87477933836127
"9665",2.66143392755844
"9667",5.17648752993952
"9669",4.45612466922192
"9670",2.30168908210252
"9671",2.78200232651199
"9673",2.3204598308261
"9675",2.96396954787141
"9676",3.95835613803999
"9677",2.20818198048251
"9678",4.00864001338685
"9679",2.24461155446124
"9680",4.23656826809292
"9681",4.40650461897714
"9685",4.16542365690271
"9686",2.70851143211928
"9687",3.68875431793351
"9689",2.29529619643181
"9690",4.3275396766516
"9691",4.40366614625384
"9694",2.73376728886337
"9696",4.16212109974148
"9697",5.94206875277899
"9698",4.1949459790519
"9700",6.22213375380552
"9703",4.39261894832173
"9704",4.30044351167158
"9705",3.87286991426436
"9707",2.20788171735117
"9708",3.13802752800291
"9709",5.69454799518858
"9710",2.14001489220341
"9711",3.19054359127074
"9712",3.15247752915678
"9713",3.99021252713762
"9715",2.20793081832878
"9716",5.42888694392851
"9717",4.27344731297337
"9718",2.75946028215747
"9719",4.02995496079719
"9720",4.66767134404373
"9721",5.65316717404558
"9722",4.80938125975995
"9723",3.21795871671364
"9724",3.71516526606344
"9725",5.6157666668083
"9726",4.14454198942077
"9728",2.37138781446277
"9729",2.20787768078472
"9731",4.15015658664701
"9732",3.07430814189308
"9733",4.26716721493667
"9734",2.77003980496048
"9738",2.98298628268065
"9740",4.20120906840372
"9741",6.71078383937241
"9742",3.0598154882735
"9743",5.47587362193427
"9745",3.74835266811583
"9746",2.85908163725327
"9748",2.17004309222191
"9750",4.37944896275358
"9752",5.67823260509001
"9753",3.95709930642389
"9754",3.79428939864983
"9755",2.20545169811982
"9757",2.17374633227399
"9758",3.84844964469413
"9759",5.08076233009666
"9760",3.80572157420838
"9762",4.49745124463242
"9763",1.62390813464592
"9765",4.6820911755343
"9766",2.68920930046727
"9767",2.89503087686512
"9768",3.46670290072537
"9771",1.92750600025474
"9772",4.63288025050602
"9774",3.96261168703472
"9775",6.68437447018016
"9777",1.7319419708935
"9778",5.82868869417154
"9780",4.27828740007804
"9781",6.21416649422853
"9782",2.25813900671242
"9785",3.81952960698767
"9786",4.32632269252253
"9788",2.87809092290662
"9789",2.97973483909073
"9792",2.28908057787107
"9793",3.35838634719
"9795",4.52007645942268
"9796",3.70627752062248
"9797",3.23393643658674
"9798",4.50250457177199
"9799",3.99859355797782
"9800",3.07045835153921
"9801",3.11543172909796
"9802",3.80109920337943
"9803",3.22202563502288
"9805",2.56324045449832
"9806",4.00166374640554
"9807",3.60530863543661
"9808",4.07493250415891
"9809",2.72920047303377
"9810",2.72755073634753
"9811",2.18584214178621
"9812",3.22370622725844
"9814",3.17006051207298
"9816",4.89777147750196
"9817",3.07459623859729
"9818",2.20512843180732
"9819",2.3937755837601
"9822",2.15180039639698
"9823",4.18425697214753
"9824",3.9862658702936
"9825",3.04767397404128
"9826",3.37910595595803
"9827",4.6865631526815
"9833",5.19727731509077
"9834",3.7744105495342
"9835",4.40825531991386
"9836",3.07990107512818
"9837",5.7209502618117
"9839",2.52193521276236
"9840",4.03063089616386
"9841",3.18783521459843
"9842",4.45146862120022
"9843",3.82773271684496
"9845",2.00252338184946
"9846",4.33115572957925
"9848",2.93262362543593
"9849",3.46340568058977
"9851",4.32396437367105
"9852",4.35878859806239
"9854",2.28786118259959
"9855",4.54720967731647
"9856",3.91320978538552
"9857",2.23473181790235
"9858",2.27967796704939
"9859",3.93558118385039
"9860",4.04541110481533
"9861",2.71536132138467
"9864",5.9682261870774
"9865",4.26861436265699
"9866",3.69285395510812
"9867",4.31968043179273
"9869",4.17713273639967
"9870",5.72508545985072
"9871",2.16615255073529
"9873",4.13167024628776
"9874",2.76404314332778
"9876",1.63954177784276
"9878",3.89635862639243
"9880",3.15289677759843
"9882",3.19361470476839
"9883",4.43350913784528
"9884",4.51062165830532
"9885",5.41563347723546
"9887",5.41427492787774
"9890",3.98532654074058
"9891",2.76324228406267
"9892",3.63891216972764
"9893",4.30005580066678
"9894",2.24775236410996
"9896",4.507066349816
"9897",3.35367333858943
"9898",1.62275969865524
"9899",4.15566771721848
"9900",6.09977696329518
"9901",3.14407157849436
"9902",4.08720768395493
"9903",2.899334752436
"9905",3.03767141519745
"9906",5.15881647648094
"9907",2.84694055215512
"9908",2.32901862456524
"9913",2.50055026426555
"9915",3.07617149075413
"9916",3.01898679518798
"9919",3.37859921627717
"9922",3.19316176954827
"9923",2.7716618661864
"9925",3.70203081492394
"9926",2.22201682256893
"9927",2.89487696158492
"9929",4.44671908126389
"9930",4.23538667394971
"9931",5.93319899063079
"9933",1.70753077363975
"9934",2.36121232366489
"9937",4.20443839241933
"9938",2.53808721057352
"9940",2.7753920359163
"9941",3.442912671713
"9943",2.22389590457383
"9945",3.63514607508323
"9946",2.84496438684946
"9948",5.46038281829288
"9949",3.94752210450238
"9951",2.99332329869096
"9952",5.12054804275702
"9953",2.2527163299932
"9954",2.7063905576333
"9955",3.3082938654831
"9956",4.8094550095892
"9957",2.42077985411795
"9958",3.96705012345851
"9959",4.2717376793063
"9960",3.28969368192305
